currency,unit,geo,TIME_PERIOD,OBS_VALUE
EUR,KWH,EU27,2013,0.2042
EUR,KWH,EU27,2014,0.2058
EUR,KWH,EU27,2015,0.2083
EUR,KWH,EU27,2016,0.2051
EUR,KWH,EU27,2017,0.2086
EUR,KWH,EU27,2018,0.21
EUR,KWH,EU27,2019,0.2168
EUR,KWH,EU27,2020,0.2131
EUR,KWH,EU27,2021,0.2203
EUR,KWH,EU27,2022,0.2525
EUR,KWH,LV,2013,0.1378
EUR,KWH,LV,2014,0.1365
EUR,KWH,LV,2015,0.1635
EUR,KWH,LV,2016,0.1628
EUR,KWH,LV,2017,0.1586
EUR,KWH,LV,2018,0.1531
EUR,KWH,LV,2019,0.1629
EUR,KWH,LV,2020,0.142
EUR,KWH,LV,2021,0.1403
EUR,KWH,LV,2022,0.1759
